id;start_date;end_date;language
1;2020-03-02T10:28:06;2020-03-02T05:17:39;FRENCH
2;2020-03-01T23:31:51;2020-03-01T15:00:00;SPANISH
3;2020-03-02T09:51:43;2020-03-01T12:54:09;FRENCH
4;2020-03-01T20:16:56;2020-03-01T12:59:25;FRENCH
5;2020-03-02T00:33:28;2020-03-01T16:05:13;SPANISH
6;2020-03-01T15:51:56;2020-03-01T12:29:14;FRENCH
7;2020-03-02T09:53:27;2020-03-02T06:24:20;SPANISH
8;2020-03-02T10:37:14;2020-03-02T09:17:20;FRENCH
9;2020-03-01T15:16:44;2020-03-01T19:11:49;SPANISH
10;2020-03-02T05:17:56;2020-03-02T04:47:28;ENGLISH
